Titulo,Año,Duracion,Genero,Clasificacion,Descripcion,Estrellas,votes,Tipo,duracion_num,genero_principal,duration_min,link
#ABtalks,(2018 Podcast Series),87 min,,9.1,"#ABtalks is an interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.","['Karen Wazen, ', 'Deema Al Asadi, ', 'Hala Abdallah, ', 'Mina Al Sheikhly']",15,Pelicula,,,87.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#Alive,(2020),98 min,"Action, Drama, Horror",6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","['Il Cho', '| ', '    Stars:', 'Yoo Ah-in, ', 'Park Shin-Hye, ', 'Jeon Bae-soo, ', 'Hyun-Wook Lee']","39,285",Serie,98.0,Action,98.0,https://image.tmdb.org/t/p/w500/4CQL8VL1snxTPB3bfsm7BKE1EOd.jpg
#AnneFrank - Parallel Stories,(2019),92 min,"Drama, History",6.5,"It is based on five women who did survive the Holocaust but shared her same fate of ""deportation, suffering and being denied their childhood and adolescence,"" according to promotional materials.","['Sabina Fedeli, ', 'Anna Migotto', '| ', '    Stars:', 'Helen Mirren, ', 'Anne Frank, ', 'Martina Gatti, ', 'Arianna Szorenyi']","1,569",Pelicula,92.0,Drama,92.0,https://image.tmdb.org/t/p/w500/nO3jpaNi5qsoixDhYnVYaXaPXme.jpg
#BlackAF,(2020),36 min,Comedy,6.7,A father takes an irreverent and honest approach to parenting and relationships.,"['Rashida Jones, ', 'Kenya Barris, ', 'Iman Benson, ', 'Genneya Walton']","4,887",Serie,36.0,Comedy,36.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#FriendButMarried 2,(2020),100 min,"Biography, Comedy, Drama",6.9,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.","['Rako Prijanto', '| ', '    Stars:', 'Adipati Dolken, ', 'Mawar Eva de Jongh, ', 'Vonny Cornellya, ', 'Sari Nila']",317,Serie,100.0,Biography,100.0,https://image.tmdb.org/t/p/w500/3lX4u7t8rhtaVkgX5znxPUSW5MQ.jpg
#FriendsButMarried,(2018),102 min,"Biography, Comedy, Drama",6.8,"Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.","['Rako Prijanto', '| ', '    Stars:', 'Adipati Dolken, ', 'Vanesha Prescilla, ', 'Refal Hady, ', 'Denira Wiraguna']",727,Serie,102.0,Biography,102.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#HappyBirthdaySense8,(2017),15 min,Short,9.0,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Freema Agyeman, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",844,Pelicula,15.0,Short,15.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#Realityhigh,(2017),99 min,"Comedy, Drama, Romance",5.1,"High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for.","['Fernando Lebrija', '| ', '    Stars:', 'Nesta Cooper, ', 'Keith Powers, ', 'Alicia Sanz, ', 'Jake Borelli']","6,432",Serie,99.0,Comedy,99.0,https://image.tmdb.org/t/p/w500/iZliPeiiDta9KbONAhdFSXhTxrO.jpg
#Rucker50,(2016),56 min,Documentary,5.2,Add a Plot,"['Robert McCullough Jr.', '| ', '    Star:', 'Inez Dickens']",123,Pelicula,56.0,Documentary,56.0,https://image.tmdb.org/t/p/w500/qTdgWIRxBnMXXpxTuvWquf3Q03y.jpg
#cats_the_mewvie,(2020),90 min,Documentary,5.3,It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,"['Michael Margolis', '| ', '    Stars:', 'Kevin Allocca, ', 'Phaedra Barratt, ', 'Amanda Brennan, ', 'Mike Bridavsky']",469,Serie,90.0,Documentary,90.0,https://image.tmdb.org/t/p/w500/fMSNVeCxpl09nXfo8n7ZjPj8OuB.jpg
'76,(2016),118 min,"Drama, Romance",5.6,"The story is told from two points of view: that of a young pregnant woman, and that of her husband, a soldier accused of being involved in the failed 1976 military coup and assassination of General Murtala Mohammed, the Head-of-State of Nigeria.","['Izu Ojukwu', '| ', '    Stars:', 'Efetobore Afatakpa, ', 'Tunde Alabi, ', 'Bisi Ariyo, ', 'Preach Bassey']",234,Pelicula,118.0,Drama,118.0,https://image.tmdb.org/t/p/w500/500vgoIsB8OJ4s9QTsVACnP81UW.jpg
(Un)Well,(2020– ),45 min,Documentary,6.4,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",['Jennifer Julian'],"1,089",Serie,,Documentary,45.0,https://image.tmdb.org/t/p/w500/ggZr8a8yFNIPyRfhk28aM9LSmTg.jpg
1 Chance 2 Dance,(2014),89 min,"Drama, Family",4.6,"When a seventeen-year old aspiring dancer is uprooted mid-semester of her senior year, she finds herself in a small East Coast high school where her heart will be divided between two boys, ...                See full summary »","['Adam Deyoe', '| ', '    Stars:', 'Lexi Giovagnoli, ', 'Justin Ray, ', 'Rae Latt, ', 'Poonam Basu']",579,Pelicula,89.0,Drama,89.0,https://image.tmdb.org/t/p/w500/vQy6jouS9zXZISCxYLmDRzVWZhm.jpg
"1,000,000 yen no Onnatachi",(2017),30 min,"Crime, Mystery, Romance",7.6,"A frustrated writer has 5 mysterious women turn up at his house, all seemingly invited and all must adhere to strict rules, they all pay him a million yen as rent. Who is responsible for the invites?","['Yôjirô Noda, ', 'Rila Fukushima, ', 'Rena Matsui, ', 'Miwako Wagatsuma']","1,867",Pelicula,30.0,Crime,30.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
10 000 timmar,(2014),94 min,Comedy,4.4,"When he wins the lottery, an ordinary guy quits his job to pursue his dream of becoming a pro soccer player by devoting 10,000 hours to training.","['Joachim Hedén', '| ', '    Stars:', 'Peter Magnusson, ', 'Karin Lithman, ', 'Özz Nûjen, ', 'Mathilda von Essen']","1,070",Pelicula,94.0,Comedy,94.0,https://image.tmdb.org/t/p/w500/eZi1QZ4LTqDPP0erEUPIHeeXhYm.jpg
10 Days in Sun City,(2017),87 min,"Adventure, Comedy, Romance",5.2,"A globetrotting traveler, Akpos, brings his girlfriend to the land of South Africa in this adventure.","['Adze Ugah', '| ', '    Stars:', 'Gbenro Ajibade, ', 'Ali Baba, ', 'Fathia Balogun, ', 'Jaun de Jager']",73,Pelicula,87.0,Adventure,87.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/This_is_a_cover_image_for_10_Days_in_Sun_City.jpg/250px-This_is_a_cover_image_for_10_Days_in_Sun_City.jpg
100 Days My Prince,(2018),75 min,"Action, Comedy, History",7.7,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.","['Kyung-soo Do, ', 'Nam Ji-Hyun, ', 'Jo Sung-ha, ', 'Jo Han-chul']","2,250",Pelicula,75.0,Action,75.0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/100_Days_My_Prince.jpg/250px-100_Days_My_Prince.jpg
100 Humans: Life's Questions. Answered.,(2020– ),45 min,Reality-TV,5.8,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.","['Zainab Johnson, ', 'Sammy Obeid, ', 'Alie Ward, ', 'Jataun Gilbert']","4,135",Serie,,Reality-TV,45.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
100 Meters,(2016),108 min,"Biography, Comedy, Drama",7.5,"Based on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.","['Marcel Barrena', '| ', '    Stars:', 'Dani Rovira, ', 'Karra Elejalde, ', 'Alexandra Jiménez, ', 'David Verdaguer']","6,362",Pelicula,108.0,Biography,108.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/100_Meters_poster.jpg/250px-100_Meters_poster.jpg
